"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","login with ""locked_user@example.com"" -> account_locked","firefox","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","1","@smoke login ""valid_user@example.com"" -> invalid_credentials","firefox","2026-07-19","skipped","2026-07-19","Login - smoke only","login.spec.ts","",""
"","0","login with ""valid_user@example.com"" -> invalid_credentials","firefox","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","0","@smoke login ""valid_user@example.com"" -> success","chromium","2026-07-19","skipped","2026-07-19","Login - smoke only","login.spec.ts","",""
"","0","@smoke login ""valid_user@example.com"" -> invalid_credentials","chromium","2026-07-19","skipped","2026-07-19","Login - smoke only","login.spec.ts","",""
"","0","login with ""valid_user@example.com"" -> success","firefox","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","0","login with ""valid_user@example.com"" -> invalid_credentials","chromium","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","3497","authenticate","setup","2026-07-19","failed","2026-07-19","","auth.setup.ts","",""
"","0","login with ""valid_user@example.com"" -> success","chromium","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","0","login with ""locked_user@example.com"" -> account_locked","chromium","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","1","login with ""(empty)"" -> username_required","chromium","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
"","0","@smoke login ""valid_user@example.com"" -> success","firefox","2026-07-19","skipped","2026-07-19","Login - smoke only","login.spec.ts","",""
"","0","login with ""(empty)"" -> username_required","firefox","2026-07-19","skipped","2026-07-19","Login","login.spec.ts","",""
